PLAYER,SALARY,GP,G,A,SOT,PPG,P
"Sergio Agüero
 Forward — Manchester City",$19.2m,16,14,3,34,13.12,209.98
"Eden Hazard
 Midfield — Chelsea",$18.9m,21,8,4,17,13.05,274.04
"Alexis Sánchez
 Forward — Arsenal",$17.6m,,12,7,29,11.19,223.86
"Yaya Touré
 Midfield — Manchester City",$16.6m,18,7,1,19,10.99,197.91
"Ángel Di María
 Midfield — Manchester United",$15.0m,13,3,,13,10.17,132.23
"Santiago Cazorla
 Midfield — Arsenal",$14.8m,20,4,,20,9.97,
"David Silva
 Midfield — Manchester City",$14.3m,15,6,2,11,10.35,155.26
"Cesc Fàbregas
 Midfield — Chelsea",$14.0m,20,2,14,10,10.47,209.49
"Saido Berahino
 Forward — West Brom",$13.8m,21,9,0,20,7.02,147.43
"Steven Gerrard
 Midfield — Liverpool",$13.8m,20,5,1,11,7.5,150.01
